tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,3,3,0,3,10,3,7,5,5,0;1;3;4;6;7;8,retained_preactivation,1.0,,True,0.1,119558.35450523732,3610.253026321355,3.3116336620610927,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.023757,1.1122,0.0116,4,0.011412,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed14_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,14,14,0,0,10,3,7,5,5,0;1;2;5;6;7;8,retained_preactivation,1.0,,True,0.1,5657.886569868647,139.5435329315114,4.054567381954937,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.496213,2.6201,0.0088,1,0.353729,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed14_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,6,6,0,2,10,4,6,5,5,0;1;2;5;7;9,retained_preactivation,1.0,,True,0.1,870529.2714665027,45904.460641096746,1.8963936386764702,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.066798,1.6638,0.0059,2,0.021933,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand2_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,9,9,0,0,10,3,7,5,5,0;1;2;3;5;6;8,retained_preactivation,1.0,,True,0.1,2545606901.4755354,211928013.41376758,1.2011658395086735,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.017168,1.0896,0.0102,5,0.008364,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,6,6,0,1,10,4,6,5,5,0;1;2;4;7;9,retained_preactivation,1.0,,True,0.1,1149481.8474008192,86776.04164024768,1.324653470788966,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.113022,2.9782,0.0165,2,0.065247,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand1_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,6,6,0,0,10,4,6,5,5,0;1;2;4;5;9,retained_preactivation,1.0,,True,0.1,16387409.588224247,889609.7687952848,1.8420896625737577,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.023473,1.3018,0.0072,5,0.015044,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand0_reducedp4_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed16_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,16,16,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,True,0.1,3663.825084525734,141.13234219233843,2.596020889055014,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.056609,1.2000,0.0137,5,0.021369,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed16_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed13_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,13,13,0,0,10,3,7,5,5,0;1;2;3;5;7;8,retained_preactivation,1.0,,True,0.1,4463030.232956976,197608.92043503502,2.2585165806946557,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,81.775711,1.1357,0.0083,5,0.846801,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed13_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed17_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,17,17,0,0,10,3,7,5,5,0;1;2;3;4;6;8,retained_preactivation,1.0,,True,0.1,2824.45871473633,15.533776643809553,18.182691688577474,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.219743,1.6973,0.0083,4,0.050302,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed17_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,7,7,0,3,10,3,7,5,5,1;4;5;6;7;8;9,retained_preactivation,1.0,,True,0.1,1025874.4638677775,14011.804329296781,7.321501498010596,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.063629,1.8369,0.0091,5,0.030103,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed18_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,18,18,0,1,10,3,7,5,5,0;1;2;3;4;5;9,retained_preactivation,1.0,,True,0.1,1162177901.3642838,85123605.54620585,1.3652827484303909,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.036705,1.1914,0.0095,4,0.023812,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed18_minsym5_cand1_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed20_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,20,20,0,0,10,3,7,5,5,0;1;2;3;5;7;8,retained_preactivation,1.0,,True,0.1,246728015.28332654,1322304.6400463094,18.658938932157547,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.025446,1.2195,0.0145,5,0.008525,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed20_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed18_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0,20,10,18,18,0,0,10,3,7,5,5,0;1;2;3;4;5;7,retained_preactivation,1.0,,True,0.1,563841196.2194911,94173676.72480543,0.5987248409841206,default,,0.1,True,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.032686,1.2053,0.0165,5,0.026412,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed18_minsym5_cand0_reducedp3_retained_sync_readout_retained_ga0p1_v1_rseed0.pth
