E_stsp,M,P,P_effective,P_original,Q_vis,alpha,auto_lambda_enabled,batch_episodes,best_DH,best_Dstsp,candidate_id,ckpt,deleted_set_str,distill_auto_lambda,distill_grad_ratio_alpha,distill_lambda,distill_lambda_effective,distill_mode,final_loss,final_target_fp_residual,final_traj_loss,final_vis_fps,fp_count_weight,fp_hidden_lr_mult,grad_norm_aux_initial,grad_norm_out_initial,guidance,input_sigma,lambda_formula,lambda_target_fp_residual,lr_end,lr_fixed,lr_start,max_bridge_len,minimal_num_clusters,n_interleave,n_posttransient_symbols,num_clusters,num_deleted,num_epochs,r_anchor,r_bridge,r_local,r_long,retrain_seed,run_status,seed,segment_len,source_seed,state_sigma,symbol_margin,sync_interval,sync_scope,tag,target_fp_count,target_fp_residual_ramp_epochs,teacher,weighting_scheme
1.267667,20,10,4,10,5,0.1,True,16,0.0086,1.2677,10,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand10_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;5;7;8;9,True,0.1,1.0,9.694752927672141,full_preactivation,0.029854,nan,0.010660,4,5.0,1.0,356.22415236549534,34535.05144052923,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand10_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
2.496215,20,10,4,10,5,0.1,True,16,0.0114,2.4123,11,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand11_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0.pth,2;4;5;7;8;9,True,0.1,1.0,4.621384541619965,full_preactivation,0.161677,nan,0.111364,4,5.0,1.0,1006.1567988669808,46498.37476729698,full,0.0,,0.0,1e-05,False,0.001,200,5,128,8,5,6,2000,0.00,0.00,0.00,1.00,0,completed,6,200,6,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand11_reducedp4_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
8.062910,20,10,3,10,3,0.1,True,16,0.0158,6.7410,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;4;5;7;9,True,0.1,1.0,0.05751989805438566,full_preactivation,0.139226,nan,0.128466,0,5.0,1.0,1255.0554021635858,721.9065878505551,full,0.0,,0.0,1e-05,False,0.001,200,5,128,4,5,7,2000,0.00,0.00,0.00,1.00,0,completed,7,200,7,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.142884,20,10,3,10,5,0.1,True,16,0.0115,1.1429,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;4;5;6;7;9,True,0.1,1.0,10.195620621722318,full_preactivation,0.025855,nan,0.009613,4,5.0,1.0,9406.637986807176,959065.1223936777,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,7,200,7,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.054931,20,10,3,10,5,0.1,True,16,0.0054,1.0549,2,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;4;5;7;8;9,True,0.1,1.0,0.5770234245120344,full_preactivation,0.009749,nan,0.005178,5,5.0,1.0,185.9059794711429,1072.721049117034,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,7,200,7,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.267946,20,10,3,10,5,0.1,True,16,0.0107,1.2679,3,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;4;5;6;7;8;9,True,0.1,1.0,10.253340247653886,full_preactivation,0.034546,nan,0.013266,5,5.0,1.0,9798.851595061089,1004709.5944042737,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,7,200,7,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.193984,20,10,3,10,5,0.1,True,16,0.0079,1.1940,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;3;4;5;6;7;8,True,0.1,1.0,4.72805645324845,full_preactivation,0.031358,nan,0.017065,5,5.0,1.0,3719.162199844207,175844.08839651107,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,8,200,8,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.095366,20,10,3,10,5,0.1,True,16,0.0101,1.0954,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;3;4;6;7;8;9,True,0.1,1.0,5.193855093801648,full_preactivation,0.039520,nan,0.016292,5,5.0,1.0,7523.740306081768,390772.1691318357,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,8,200,8,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.146493,20,10,3,10,5,0.1,True,16,0.0150,1.1465,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;3;5;6;8,True,0.1,1.0,1.2697207959132277,full_preactivation,0.012517,nan,0.008084,5,5.0,1.0,3056562.5614981283,38809810.48343977,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,9,200,9,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.127809,20,10,3,10,5,0.1,True,16,0.0143,1.1278,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;3;5;7;8,True,0.1,1.0,1.2695800534425625,full_preactivation,0.017125,nan,0.011290,5,5.0,1.0,3097184.116379264,39321231.75994241,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,9,200,9,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
