tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt,condition,is_baseline,run_status,Q_vis,n_posttransient_symbols,E_stsp
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand10_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,10,10,4,6,5,5,1;2;5;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015446,1.2422,0.0077,5,0.007990,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand10_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.242209
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand11_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,6,6,0,11,10,4,6,5,5,2;4;5;7;8;9,retained_preactivation,1.3333333333333333,,False,0.1,,,1.3333333333333333,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.103450,2.1196,0.0128,5,0.077937,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed6_minsym5_cand11_reducedp4_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,9,2.119564
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,7,7,0,0,10,3,7,5,5,0;1;2;4;5;7;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.012962,1.1028,0.0106,5,0.007811,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.102831
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,7,7,0,1,10,3,7,5,5,0;1;4;5;6;7;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.033627,1.4568,0.0095,5,0.018591,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.456789
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,7,7,0,2,10,3,7,5,5,1;2;4;5;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.017326,1.1562,0.0113,5,0.009415,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.156250
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,7,7,0,3,10,3,7,5,5,1;4;5;6;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.022534,1.1669,0.0126,5,0.015193,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.166912
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,8,8,0,0,10,3,7,5,5,0;3;4;5;6;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.017076,1.1001,0.0202,5,0.008992,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.100136
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,8,8,0,1,10,3,7,5,5,0;3;4;6;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.027804,1.0903,0.0139,5,0.012208,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.090288
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,9,9,0,0,10,3,7,5,5,0;1;2;3;5;6;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.016891,1.1648,0.0104,5,0.009183,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.164804
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,9,9,0,1,10,3,7,5,5,0;1;2;3;5;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.023383,1.2142,0.0102,5,0.008792,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed9_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.214202
