source_seed,candidate_id,mode,P_effective,bDstsp,bvis,n_visited_full,n_visited_cut
6,8,full_preactivation,4,4.768392086029053,4,13,11
4,1,symbol,3,13.104758262634276,4,6,6
7,3,symbol,3,12.08249568939209,4,5,4
13,1,symbol,3,12.414894104003906,5,5,5
17,0,symbol,3,4.464649200439453,5,5,5
6,9,full_preactivation,4,8.541051864624023,4,9,9
6,10,full_preactivation,4,1.3054152727127075,5,6,5
6,11,full_preactivation,4,1.680328130722046,5,8,8
10,7,full_preactivation,3,1.4595483541488647,5,5,5
10,6,full_preactivation,3,1.3412652015686035,5,5,5
11,7,full_preactivation,3,1.2970787286758425,5,5,5
10,8,full_preactivation,3,1.25239360332489,5,5,5
10,9,full_preactivation,3,1.2536256313323977,5,5,5
11,6,full_preactivation,3,11.48244857788086,2,3,2
22,6,full_preactivation,4,1.3116670846939087,5,5,5
15,6,full_preactivation,3,2.524789571762085,4,7,6
13,6,full_preactivation,3,1.250348448753357,5,6,5
18,6,full_preactivation,3,4.572212219238281,4,8,8
13,7,full_preactivation,3,1.1938780546188354,5,6,5
24,6,full_preactivation,3,1.3190388679504397,5,6,5
10,11,full_preactivation,3,1.2549993991851809,5,5,5
18,7,full_preactivation,3,1.26191508769989,5,6,5
22,7,full_preactivation,4,1.314793825149536,5,5,5
24,7,full_preactivation,3,1.2915295362472534,5,5,5
10,10,full_preactivation,3,1.24308979511261,5,5,5
25,7,full_preactivation,3,1.4911706447601318,5,5,5
26,6,full_preactivation,3,11.732365608215332,3,4,4
25,8,full_preactivation,3,1.2329282760620115,5,5,5
25,6,full_preactivation,3,1.1503161191940308,5,5,5
26,7,full_preactivation,3,9.503634452819824,3,4,3
26,8,full_preactivation,3,10.486976623535156,4,7,7
18,0,symbol,3,9.06706428527832,3,3,1
15,1,symbol,3,5.426095962524414,5,5,5
14,1,symbol,3,3.562345504760742,5,5,5
21,0,symbol,3,13.114629745483398,4,5,5
23,0,symbol,3,8.245733261108398,2,8,8
10,2,symbol,3,3.957609176635742,5,6,5
16,1,symbol,3,3.2170772552490234,5,5,5
20,0,symbol,3,8.542617797851562,5,5,5
17,1,symbol,3,11.813772201538086,4,5,5
24,0,symbol,3,6.637744903564453,5,5,5
26,0,symbol,3,13.90044116973877,4,8,8
25,0,symbol,3,11.177467346191406,5,6,6
27,0,symbol,3,3.4725453853607178,5,5,5
22,0,symbol,3,3.800061702728272,5,5,5
14,2,symbol,3,7.866402626037598,3,5,5
9,2,symbol,3,11.702337265014648,5,6,5
11,2,symbol,3,3.8891777992248535,5,7,7
9,3,symbol,3,10.88796329498291,5,6,1
18,1,symbol,3,12.784460067749023,5,5,5
13,2,symbol,3,10.738529205322266,5,6,1
15,2,symbol,3,7.937592029571533,5,5,5
28,0,symbol,3,4.06218147277832,5,5,5
29,0,symbol,3,3.689055919647217,5,5,5
21,1,symbol,3,10.003595352172852,5,5,5
20,2,symbol,3,13.250893592834473,4,5,1
11,3,symbol,3,11.155523300170898,4,5,5
22,1,symbol,3,10.352306365966797,5,8,8
23,1,symbol,3,2.772843837738037,5,5,5
17,2,symbol,3,4.184418678283691,5,5,5
25,1,symbol,3,8.92856216430664,4,6,1
28,1,symbol,3,10.961969375610352,5,5,5
24,1,symbol,3,3.672098159790039,5,5,5
22,2,symbol,3,10.185277938842772,5,7,7
11,4,symbol,3,10.06865406036377,3,4,4
15,3,symbol,3,5.495688438415527,5,5,5
13,3,symbol,3,10.5470609664917,5,5,1
11,5,symbol,3,3.660577058792114,5,5,5
10,4,symbol,3,7.825488090515137,5,5,5
23,2,symbol,3,5.595560073852539,4,4,4
