time,x1,x2,x3,parent_symbol,projected_symbol
38381,0.727123,0.238095,-2.511448,994,2
38382,0.708593,0.217689,-2.547486,994,2
38383,0.688988,0.196937,-2.580211,994,2
38384,0.668339,0.175862,-2.609578,994,2
38385,0.646661,0.154490,-2.635546,994,2
38386,0.623965,0.132847,-2.658073,994,2
38387,0.600261,0.110959,-2.677117,994,2
38388,0.575566,0.088854,-2.692638,994,2
38389,0.549912,0.066560,-2.704602,994,2
38390,0.523334,0.044102,-2.712984,1010,2
38391,0.495867,0.021529,-2.717759,1010,2
38392,0.467591,-0.001062,-2.718901,1010,2
38393,0.438724,-0.023672,-2.716401,1010,2
38394,0.409408,-0.046286,-2.710279,1010,2
38395,0.379699,-0.068891,-2.700561,1010,2
38396,0.349578,-0.091463,-2.687264,1010,2
38397,0.319004,-0.113967,-2.670391,1010,2
38398,0.287973,-0.136365,-2.649932,1010,2
38399,0.256537,-0.158620,-2.625888,1010,2
38400,0.224787,-0.180703,-2.598280,1010,2
38401,0.192811,-0.202588,-2.567150,1010,2
38402,0.160660,-0.224251,-2.532551,1010,2
38403,0.128346,-0.245663,-2.494534,1010,2
38404,0.095862,-0.266795,-2.453144,1010,2
38405,0.063216,-0.287610,-2.408416,1010,2
38406,0.030446,-0.308078,-2.360391,1010,2
38407,-0.002381,-0.328169,-2.309120,1010,2
38408,-0.035194,-0.347857,-2.254671,1010,2
38409,-0.067934,-0.367118,-2.197120,1010,2
38410,-0.100569,-0.385928,-2.136547,1010,2
38411,-0.133082,-0.404261,-2.073029,1010,2
38412,-0.165453,-0.422087,-2.006640,1010,2
38413,-0.197646,-0.439381,-1.937457,1010,2
38414,-0.229610,-0.456116,-1.865562,1010,2
38415,-0.261285,-0.472270,-1.791047,1010,2
38416,-0.292618,-0.487822,-1.714013,1010,2
38417,-0.323567,-0.502752,-1.634563,1010,2
38418,-0.354104,-0.517038,-1.552802,1010,2
38419,-0.384202,-0.530660,-1.468833,1010,2
38420,-0.413827,-0.543596,-1.382762,1010,2
38421,-0.442938,-0.555827,-1.294696,1010,2
38422,-0.471485,-0.567336,-1.204749,1010,2
38423,-0.499423,-0.578106,-1.113040,1010,2
38424,-0.526711,-0.588124,-1.019693,1010,2
38425,-0.553317,-0.597374,-0.924832,1010,2
38426,-0.579213,-0.605842,-0.828581,1010,2
38427,-0.604370,-0.613516,-0.731064,1010,2
38428,-0.628752,-0.620383,-0.632408,1010,2
38429,-0.652323,-0.626432,-0.532743,1010,2
38430,-0.675043,-0.631655,-0.432200,1010,2
38431,-0.696881,-0.636042,-0.330914,1010,2
38432,-0.717806,-0.639589,-0.229023,1010,2
38433,-0.737794,-0.642287,-0.126661,1010,2
38434,-0.756820,-0.644132,-0.023964,1010,2
38435,-0.774860,-0.645120,0.078933,1010,2
38436,-0.791885,-0.645248,0.181892,1010,2
38437,-0.807869,-0.644514,0.284776,1010,2
38438,-0.822786,-0.642918,0.387446,1010,2
38439,-0.836615,-0.640461,0.489763,1010,2
38440,-0.849339,-0.637146,0.591589,1010,2
38441,-0.860941,-0.632974,0.692787,1011,2
38442,-0.871593,-0.628084,0.793225,1011,2
38443,-0.881504,-0.622390,0.892777,1011,2
38444,-0.890650,-0.615852,0.991431,1011,2
38445,-0.898841,-0.608490,1.089150,1011,2
38446,-0.905860,-0.600331,1.185805,1011,2
38447,-0.911571,-0.591397,1.281208,1011,2
38448,-0.915959,-0.581700,1.375159,1011,2
38449,-0.919104,-0.571241,1.467487,1011,2
38450,-0.921103,-0.560016,1.558056,1011,2
38451,-0.921994,-0.548016,1.646754,1011,2
38452,-0.921739,-0.535243,1.733464,1011,2
38453,-0.920248,-0.521707,1.818053,1011,2
38454,-0.917434,-0.507426,1.900373,1011,2
38455,-0.913259,-0.492422,1.980275,1011,2
38456,-0.907738,-0.476713,2.057617,1011,2
38457,-0.900908,-0.460315,2.132283,1011,2
38458,-0.892799,-0.443241,2.204168,1011,2
38459,-0.883402,-0.425506,2.273175,1011,2
38460,-0.872683,-0.407131,2.339199,1011,2
38461,-0.860600,-0.388139,2.402131,1011,2
38462,-0.847130,-0.368557,2.461858,1011,2
38463,-0.832278,-0.348409,2.518273,1011,2
38464,-0.816071,-0.327721,2.571280,1011,2
38465,-0.798537,-0.306515,2.620793,1011,2
38466,-0.779694,-0.284815,2.666736,1010,2
38467,-0.759769,-0.262808,2.709037,1010,2
38468,-0.739088,-0.240451,2.747631,1010,2
38469,-0.717734,-0.217707,2.782595,1010,2
38470,-0.695559,-0.194615,2.814013,1010,2
38471,-0.672355,-0.171235,2.841871,1010,2
38472,-0.647994,-0.147622,2.866076,1010,2
38473,-0.622507,-0.123824,2.886518,1010,2
38474,-0.596059,-0.099870,2.903116,1010,2
38475,-0.568850,-0.075774,2.915847,1010,2
38476,-0.541009,-0.051547,2.924721,1010,2
38477,-0.512552,-0.027204,2.929754,1010,2
38478,-0.483414,-0.002776,2.930941,1010,2
38479,-0.453533,0.021697,2.928248,1010,2
38480,-0.422914,0.046171,2.921634,1010,2
38481,-0.391641,0.070609,2.911077,1010,2
38482,-0.359837,0.094981,2.896585,1010,2
38483,-0.327606,0.119263,2.878189,1010,2
38484,-0.294991,0.143431,2.855934,1010,2
38485,-0.261985,0.167452,2.829855,1010,2
38486,-0.228568,0.191291,2.799973,1010,2
38487,-0.194750,0.214909,2.766303,1010,2
38488,-0.160584,0.238268,2.728865,1010,2
38489,-0.126160,0.261337,2.687701,1010,2
38490,-0.091563,0.284089,2.642868,1010,2
38491,-0.056851,0.306498,2.594434,1010,2
38492,-0.022050,0.328534,2.542468,1010,2
38493,0.012830,0.350167,2.487033,1010,2
38494,0.047769,0.371363,2.428188,1010,2
38495,0.082721,0.392089,2.365997,1010,2
38496,0.117621,0.412316,2.300532,1010,2
38497,0.152397,0.432019,2.231879,1010,2
38498,0.186989,0.451172,2.160131,1010,2
38499,0.221357,0.469751,2.085387,1010,2
38500,0.255474,0.487729,2.007744,1010,2
38501,0.289311,0.505080,1.927298,1010,2
38502,0.322827,0.521778,1.844144,1010,2
38503,0.355971,0.537797,1.758388,1010,2
38504,0.388682,0.553117,1.670138,1010,2
38505,0.420906,0.567717,1.579514,1010,2
38506,0.452600,0.581577,1.486638,1010,2
38507,0.483729,0.594677,1.391632,1010,2
38508,0.514261,0.606999,1.294619,1010,2
38509,0.544161,0.618524,1.195722,1010,2
38510,0.573384,0.629233,1.095069,1010,2
38511,0.601884,0.639112,0.992790,1010,2
38512,0.629614,0.648146,0.889022,1010,2
38513,0.656534,0.656322,0.783904,754,2
38514,0.682346,0.663616,0.677600,754,2
38515,0.706974,0.670051,0.570305,754,2
38516,0.730657,0.675642,0.462196,738,2
38517,0.753682,0.680388,0.353388,738,2
38518,0.776236,0.684295,0.243950,738,2
38519,0.798394,0.687321,0.133955,738,2
38520,0.820040,0.689448,0.023514,738,2
38521,0.840994,0.690670,-0.087207,738,2
38522,0.861117,0.690988,-0.198012,738,2
38523,0.880344,0.690406,-0.308708,738,2
38524,0.898674,0.688921,-0.419131,738,2
38525,0.916118,0.686534,-0.529147,738,2
38526,0.932660,0.683245,-0.638640,738,2
38527,0.948243,0.679059,-0.747491,738,2
38528,0.962787,0.673982,-0.855569,738,2
38529,0.976213,0.668024,-0.962730,738,2
38530,0.988459,0.661193,-1.068825,738,2
38531,0.999490,0.653499,-1.173705,738,2
38532,1.009282,0.644950,-1.277233,738,2
38533,1.017817,0.635554,-1.379279,738,2
38534,1.025068,0.625322,-1.479716,738,2
38535,1.031003,0.614265,-1.578420,738,2
38536,1.035587,0.602396,-1.675264,738,2
38537,1.038789,0.589729,-1.770120,738,2
38538,1.040586,0.576279,-1.862864,738,2
38539,1.040959,0.562060,-1.953371,738,2
38540,1.039896,0.547087,-2.041525,738,2
38541,1.037387,0.531379,-2.127212,738,2
38542,1.033420,0.514951,-2.210319,738,2
38543,1.027985,0.497823,-2.290740,738,2
38544,1.021074,0.480014,-2.368367,738,2
38545,1.012679,0.461543,-2.443097,994,2
38546,1.002620,0.442423,-2.514814,994,2
38547,0.990772,0.422693,-2.583377,994,2
38548,0.977295,0.402402,-2.648648,994,2
38549,0.962468,0.381566,-2.710543,994,2
38550,0.946492,0.360189,-2.769035,994,2
38551,0.929397,0.338276,-2.824108,994,2
38552,0.911078,0.315850,-2.875705,994,2
38553,0.891400,0.292943,-2.923723,994,2
38554,0.870307,0.269590,-2.968035,994,2
38555,0.847850,0.245823,-3.008527,994,2
38556,0.824150,0.221669,-3.045126,994,2
38557,0.799317,0.197148,-3.077796,994,2
38558,0.773402,0.172285,-3.106516,994,2
38559,0.746393,0.147108,-3.131260,994,2
38560,0.718248,0.121651,-3.151982,994,2
38561,0.688946,0.095949,-3.168623,994,2
38562,0.658509,0.070037,-3.181127,994,2
38563,0.627002,0.043948,-3.189455,994,2
38564,0.594498,0.017710,-3.193586,994,2
38565,0.561056,-0.008647,-3.193516,994,2
38566,0.526705,-0.035091,-3.189241,994,2
38567,0.491457,-0.061589,-3.180758,1010,2
38568,0.455325,-0.088082,-3.168053,1010,2
38569,0.418399,-0.114436,-3.151103,1010,2
38570,0.380991,-0.140655,-3.129910,1010,2
38571,0.343319,-0.166728,-3.104524,1010,2
38572,0.305478,-0.192646,-3.075015,1010,2
38573,0.267437,-0.218383,-3.041436,1010,2
38574,0.229116,-0.243902,-3.003815,1010,2
38575,0.190479,-0.269152,-2.962158,1010,2
38576,0.151578,-0.294091,-2.916477,1010,2
38577,0.112533,-0.318681,-2.866813,1010,2
38578,0.073473,-0.342894,-2.813238,1010,2
38579,0.034475,-0.366707,-2.755844,1010,2
38580,-0.004447,-0.390090,-2.694721,1010,2
38581,-0.043319,-0.413010,-2.629944,1010,2
38582,-0.082151,-0.435427,-2.561577,1010,2
38583,-0.120910,-0.457303,-2.489680,1010,2
38584,-0.159515,-0.478604,-2.414331,1010,2
38585,-0.197867,-0.499304,-2.335628,1010,2
38586,-0.235891,-0.519378,-2.253682,1010,2
38587,-0.273545,-0.538803,-2.168611,1010,2
38588,-0.310817,-0.557551,-2.080529,1010,2
38589,-0.347699,-0.575592,-1.989540,1010,2
38590,-0.384158,-0.592896,-1.895748,1010,2
38591,-0.420135,-0.609436,-1.799264,1010,2
38592,-0.455558,-0.625190,-1.700212,1010,2
38593,-0.490359,-0.640137,-1.598727,1010,2
38594,-0.524489,-0.654259,-1.494947,1010,2
38595,-0.557921,-0.667536,-1.389013,1010,2
38596,-0.590631,-0.679947,-1.281061,1010,2
38597,-0.622591,-0.691472,-1.171224,1010,2
38598,-0.653756,-0.702092,-1.059642,1010,2
38599,-0.684070,-0.711791,-0.946457,1010,2
38600,-0.713480,-0.720555,-0.831822,1010,2
38601,-0.741940,-0.728374,-0.715892,1010,2
38602,-0.769417,-0.735235,-0.598823,1010,2
38603,-0.795888,-0.741127,-0.480770,1010,2
38604,-0.821325,-0.746040,-0.361888,1010,2
38605,-0.845694,-0.749964,-0.242329,1010,2
38606,-0.868958,-0.752892,-0.122251,1010,2
38607,-0.891075,-0.754819,-0.001815,1011,2
38608,-0.912348,-0.755983,0.118825,1011,2
